id;url;timer
1;https://royaleapi.com/;168
2;https://royaleapi.com/;123
3;https://royaleapi.com/;107
4;https://royaleapi.com/;121
5;https://royaleapi.com/;75
21;https://royaleapi.com/;273
22;https://royaleapi.com/;76
23;https://royaleapi.com/;93
24;https://royaleapi.com/;94
25;https://royaleapi.com/;127
41;https://royaleapi.com/;331
42;https://royaleapi.com/;73
43;https://royaleapi.com/;78
44;https://royaleapi.com/;79
45;https://royaleapi.com/;127
61;https://royaleapi.com/;279
62;https://royaleapi.com/;193
63;https://royaleapi.com/;103
64;https://royaleapi.com/;107
65;https://royaleapi.com/;109
6;https://www.amazon.it/;1027
7;https://www.amazon.it/;968
8;https://www.amazon.it/;920
9;https://www.amazon.it/;991
10;https://www.amazon.it/;912
26;https://www.amazon.it/;1033
27;https://www.amazon.it/;1030
28;https://www.amazon.it/;1111
29;https://www.amazon.it/;1020
30;https://www.amazon.it/;1003
46;https://www.amazon.it/;1322
47;https://www.amazon.it/;1034
48;https://www.amazon.it/;1000
49;https://www.amazon.it/;941
50;https://www.amazon.it/;1024
66;https://www.amazon.it/;1052
67;https://www.amazon.it/;1022
68;https://www.amazon.it/;1020
69;https://www.amazon.it/;1059
70;https://www.amazon.it/;979
16;https://www.fantacalcio.it/;292
17;https://www.fantacalcio.it/;123
18;https://www.fantacalcio.it/;120
19;https://www.fantacalcio.it/;121
20;https://www.fantacalcio.it/;173
36;https://www.fantacalcio.it/;225
37;https://www.fantacalcio.it/;154
38;https://www.fantacalcio.it/;172
39;https://www.fantacalcio.it/;126
40;https://www.fantacalcio.it/;123
56;https://www.fantacalcio.it/;442
57;https://www.fantacalcio.it/;177
58;https://www.fantacalcio.it/;136
59;https://www.fantacalcio.it/;80
60;https://www.fantacalcio.it/;122
76;https://www.fantacalcio.it/;362
77;https://www.fantacalcio.it/;100
78;https://www.fantacalcio.it/;83
79;https://www.fantacalcio.it/;174
80;https://www.fantacalcio.it/;135
11;https://www.unict.it/;42
12;https://www.unict.it/;70
13;https://www.unict.it/;37
14;https://www.unict.it/;38
15;https://www.unict.it/;47
31;https://www.unict.it/;40
32;https://www.unict.it/;37
33;https://www.unict.it/;34
34;https://www.unict.it/;59
35;https://www.unict.it/;36
51;https://www.unict.it/;41
52;https://www.unict.it/;39
53;https://www.unict.it/;35
54;https://www.unict.it/;44
55;https://www.unict.it/;33
71;https://www.unict.it/;50
72;https://www.unict.it/;51
73;https://www.unict.it/;37
74;https://www.unict.it/;42
75;https://www.unict.it/;40
